,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
7928,711,France,Male,38,4,123345.85,1,1,0,141827.83,0
2373,616,France,Male,31,3,94263.91,2,1,0,168895.06,0
2765,667,France,Male,36,9,0.0,2,1,1,40062.29,0
3528,692,France,Male,28,5,61581.97,1,1,1,70179.91,0
7097,754,Spain,Female,50,7,146777.44,2,0,1,150685.52,0
5759,679,Germany,Female,37,8,77373.87,2,0,1,174873.09,0
3987,633,France,Male,37,7,141546.35,1,1,1,124830.11,0
6088,661,France,Female,30,7,0.0,2,1,0,72196.57,0
9484,813,Germany,Male,30,1,116416.94,1,0,1,85808.22,0
9085,690,France,Female,42,5,0.0,2,0,1,120512.08,0
415,626,Spain,Male,26,8,0.0,2,0,0,191420.71,0
2119,690,France,Male,29,5,0.0,2,1,0,108577.97,0
6358,652,France,Female,32,2,0.0,2,1,0,54628.11,0
890,788,Spain,Male,37,8,141541.25,1,0,0,66013.27,0
8983,723,Germany,Male,37,3,94661.53,2,1,0,121239.65,0
1539,558,France,Male,38,8,113000.92,1,1,1,152872.39,0
4898,544,France,Female,40,7,0.0,1,0,1,161076.92,0
616,754,Spain,Male,39,6,170184.99,2,1,0,89593.26,0
5065,832,France,Female,27,10,98590.25,1,1,0,30912.89,0
9189,607,Germany,Male,32,9,144272.07,2,1,0,176580.63,0
6574,785,Germany,Female,38,9,107199.75,1,0,0,146398.51,0
6039,597,Spain,Male,26,5,0.0,2,0,1,95159.13,0
5401,654,France,Male,47,10,0.0,2,1,0,170481.98,0
6331,629,Germany,Male,35,8,112330.83,1,1,1,91001.02,0
8986,760,Spain,Male,43,6,175735.5,1,1,1,157337.29,0
401,593,Germany,Female,38,4,129499.42,1,1,1,154071.27,0
4344,528,France,Female,26,10,102073.67,2,0,0,166799.93,0
2547,682,Spain,Female,59,0,122661.39,1,0,1,84803.76,0
1127,549,Germany,Female,45,3,143734.01,2,1,1,96404.38,0
2827,704,France,Male,36,7,120026.98,2,0,1,100601.73,0
5698,682,Spain,Female,64,9,0.0,2,1,1,103318.44,0
5416,630,France,Male,50,8,0.0,2,0,1,79377.45,0
4161,736,France,Male,43,4,176134.54,1,1,1,52856.88,0
6047,536,Spain,Male,40,9,0.0,2,1,1,11959.03,0
4587,500,France,Female,34,6,0.0,1,1,1,140268.45,0
6304,648,France,Female,38,2,0.0,2,0,1,9551.49,0
5674,540,Spain,Male,28,8,0.0,2,0,0,197588.32,0
9498,586,France,Female,52,6,140900.97,1,1,1,67288.89,0
4565,593,Spain,Female,46,2,76597.79,1,1,1,54453.72,0
4528,714,Spain,Female,31,6,152926.6,1,1,1,50899.91,0
5075,792,Spain,Male,25,8,142862.21,1,1,1,130639.01,0
3257,707,France,Female,58,3,102346.86,1,1,1,114672.64,0
290,703,Germany,Male,42,9,63227.0,1,0,1,137316.32,0
5705,628,Germany,Male,40,5,181768.32,2,1,1,129107.97,0
5322,721,France,Female,40,7,0.0,2,1,1,122580.48,0
9164,680,Spain,Male,36,7,0.0,2,1,0,20109.21,0
7494,795,France,Female,36,1,151844.64,1,1,1,135388.89,0
3308,813,France,Female,62,10,64667.95,2,0,1,140454.14,0
610,495,France,Male,30,10,129755.99,1,0,0,172749.65,0
4024,655,France,Female,20,7,134397.61,1,0,0,28029.54,0
2754,682,France,Male,42,0,0.0,1,1,1,160828.98,0
6264,690,Germany,Male,44,9,100368.63,2,0,0,35342.33,0
524,661,France,Male,48,3,120320.54,1,0,0,96463.25,0
5229,675,France,Male,35,8,0.0,2,1,1,56642.97,0
5260,704,Germany,Female,35,3,154206.07,2,1,1,40261.49,0
9786,803,Germany,Male,34,4,142929.16,2,1,1,114869.56,0
2203,613,Spain,Male,30,9,111927.45,1,1,1,175795.87,0
1145,546,France,Male,28,8,0.0,1,1,0,159254.29,0
4092,583,Spain,Female,40,4,0.0,2,1,0,114093.73,0
3713,709,Germany,Male,22,0,112949.71,1,0,0,155231.55,0
6455,711,France,Female,29,9,0.0,2,0,1,3234.8,0
9918,652,Spain,Male,31,1,132862.59,1,0,0,158054.49,0
1610,588,France,Female,24,0,0.0,2,1,1,140586.08,0
8175,561,France,Female,22,6,186788.96,2,1,0,73286.8,0
4716,646,France,Male,18,10,0.0,2,0,1,52795.15,0
9364,607,France,Female,49,9,119960.29,2,1,0,103068.22,0
8767,552,France,Male,29,10,0.0,2,1,0,12186.83,0
3305,786,France,Female,62,8,0.0,1,1,1,165702.64,0
4376,614,France,Female,34,5,0.0,2,1,0,185561.89,0
6461,710,France,Female,36,4,116085.06,1,1,0,58601.61,0
2704,718,France,Male,27,2,0.0,2,0,0,26229.24,0
9567,724,France,Male,29,4,0.0,1,1,0,8982.75,0
1270,724,Germany,Male,30,7,115315.04,1,1,0,15216.53,0
3256,735,Spain,Male,38,7,86131.71,2,0,0,93478.96,0
9630,716,France,Male,31,8,109578.04,2,1,1,51503.51,0
2854,748,France,Male,33,1,142645.43,1,0,0,69132.66,0
5732,538,Spain,Male,40,8,0.0,2,1,1,25554.4,0
8950,461,France,Female,35,5,0.0,1,1,1,54209.02,0
8106,590,Spain,Female,51,10,84474.62,2,1,1,190937.09,0
2892,601,France,Male,44,3,0.0,2,1,0,30607.11,0
2694,628,Germany,Male,29,3,113146.98,2,0,1,124749.08,0
1278,681,Spain,Male,67,7,0.0,2,0,1,163714.92,0
827,758,Spain,Male,56,1,0.0,2,1,1,10643.38,0
8512,612,Spain,Male,39,5,170288.38,1,1,1,59601.15,0
9155,579,Spain,Female,39,2,151963.26,2,1,0,158948.63,0
4688,690,France,Male,33,5,0.0,2,1,0,138017.68,0
7254,785,France,Male,36,2,0.0,1,0,1,61811.1,0
6933,708,Spain,Male,46,7,68799.72,1,1,1,39704.14,0
7717,692,Spain,Male,46,2,0.0,2,1,1,105983.09,0
6102,642,Spain,Female,36,6,0.0,2,1,1,97938.59,0
6560,577,France,Female,32,1,0.0,2,1,0,9902.39,0
2646,425,Spain,Female,39,5,0.0,2,1,0,140941.47,0
8089,692,Germany,Male,24,2,120596.93,1,0,1,180490.53,0
9247,786,Spain,Male,29,7,80895.44,2,1,0,64945.57,0
1675,784,Spain,Male,33,10,0.0,2,1,0,162022.47,0
9262,734,Germany,Female,52,6,71283.09,2,0,1,38984.37,0
7684,615,Spain,Male,41,1,126773.43,1,1,1,55551.26,0
9950,625,Germany,Female,39,10,129845.26,1,1,1,96444.88,0
9679,472,France,Male,19,9,0.0,2,1,0,3453.4,0
8736,636,France,Male,44,2,0.0,2,0,0,86414.41,0
4239,636,France,Female,39,3,118336.14,1,1,0,184691.77,0
1240,579,France,Male,36,9,129829.59,1,1,1,60906.12,0
831,708,Spain,Female,41,5,0.0,1,0,1,157003.99,0
7065,527,Spain,Male,53,8,0.0,1,1,1,51711.57,0
6943,719,Spain,Male,40,4,128389.12,1,1,1,176091.31,0
1088,850,Spain,Male,22,2,0.0,2,1,1,9684.52,0
3670,850,France,Male,28,4,0.0,2,1,1,12409.01,0
8440,663,Spain,Female,33,8,96769.04,1,1,1,36864.05,0
8487,706,Germany,Male,34,0,140641.26,2,1,1,77271.91,0
648,438,France,Female,36,4,0.0,2,1,0,64420.5,0
135,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0
6923,806,France,Male,34,5,113958.55,1,0,1,32125.98,0
7319,474,Germany,Female,37,5,142688.57,2,1,1,110953.33,0
3691,590,France,Female,76,5,160979.68,1,0,1,13848.58,0
5707,746,France,Male,25,9,0.0,2,0,1,88728.47,0
436,627,Germany,Female,30,4,79871.02,2,1,0,129826.89,0
103,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0
4695,669,France,Male,37,1,125529.55,1,1,1,162260.93,0
4780,711,Spain,Male,36,8,0.0,2,1,0,55207.41,0
4085,520,France,Male,34,4,134007.9,1,1,1,193209.11,0
2429,816,France,Male,31,8,0.0,2,1,1,28407.4,0
1393,831,France,Female,32,2,146033.62,1,1,0,191260.74,0
8642,499,Germany,Female,44,6,77627.33,2,1,0,108222.68,0
2104,768,France,Male,42,5,0.0,3,0,0,60686.4,0
9942,739,Germany,Female,25,5,113113.12,1,1,0,129181.27,0
8262,737,France,Female,33,4,0.0,2,1,0,115115.32,0
7781,705,France,Male,34,7,117715.84,1,1,0,2498.67,0
1131,500,Spain,Male,37,9,125822.21,1,1,0,111698.0,0
459,637,Spain,Male,37,8,0.0,1,1,1,186062.36,0
4709,554,France,Male,31,1,0.0,2,0,1,192660.55,0
4605,530,France,Female,34,8,0.0,2,0,1,141872.52,0
7644,675,France,Male,28,9,0.0,1,1,0,134110.93,0
6499,782,France,Male,32,9,0.0,1,1,1,87566.97,0
5208,779,Spain,Female,38,7,0.0,2,1,1,138542.87,0
8053,686,Germany,Male,29,3,185379.02,1,1,0,64679.07,0
1764,611,France,Male,40,1,0.0,2,1,1,102547.56,0
7630,705,Germany,Male,42,8,166685.92,2,1,1,55313.51,0
1090,539,Germany,Female,34,4,91622.42,1,1,1,136603.42,0
7625,598,Germany,Male,19,3,150348.37,1,1,1,173784.04,0
9670,756,France,Female,32,4,0.0,2,1,0,147040.25,0
1012,548,France,Female,29,4,0.0,2,0,1,48673.18,0
9580,783,France,Male,38,9,114135.17,1,1,0,153269.98,0
8015,638,Germany,Female,26,1,105249.76,2,1,1,23491.09,0
2578,582,France,Female,32,1,116409.55,1,0,1,152790.92,0
2589,778,France,Male,44,8,123863.64,1,1,0,144494.94,0
6616,606,Spain,Male,33,8,0.0,2,1,1,63176.77,0
6493,661,France,Male,35,9,100107.99,1,1,0,83949.68,0
2935,687,Spain,Male,35,8,100988.39,2,1,0,22247.27,0
4394,479,Germany,Male,24,6,107637.97,2,0,1,169505.83,0
1968,488,Spain,Female,39,9,140553.46,1,0,0,12440.44,0
6985,825,France,Male,32,9,0.0,2,0,0,9751.03,0
418,643,France,Female,46,6,0.0,2,0,0,106781.59,0
2281,848,Germany,Female,40,5,148495.64,1,0,0,158853.98,0
9596,531,France,Male,37,7,121854.45,1,1,0,147521.35,0
8898,850,France,Male,40,6,124788.18,1,1,0,65612.12,0
6503,455,Germany,Female,37,6,170057.62,1,0,1,54398.56,0
3381,738,France,Male,49,6,106770.82,1,1,0,123499.27,0
5239,766,Germany,Male,44,3,116822.7,1,0,0,197643.24,0
9408,640,France,Male,55,10,132436.34,1,1,0,978.66,0
5977,704,France,Female,40,6,95452.89,1,0,1,179964.55,0
5443,701,Spain,Male,28,1,103421.32,1,0,1,76304.73,0
9765,445,France,Male,64,2,136770.67,1,0,1,43678.06,0
2315,662,France,Female,37,6,0.0,2,1,0,51229.17,0
9251,541,France,Female,39,6,109844.81,1,1,0,25289.23,0
638,744,France,Female,43,10,147832.15,1,0,1,24234.11,0
7710,506,France,Female,40,3,0.0,1,1,1,144345.58,0
5819,546,France,Male,29,5,0.0,1,1,1,94823.95,0
3321,682,France,Male,30,9,0.0,2,1,1,2053.42,0
5886,607,Germany,Male,40,5,90594.55,1,0,1,181598.25,0
7236,424,Spain,Male,34,7,0.0,1,1,1,16250.61,0
207,618,France,Male,34,5,134954.53,1,1,1,151954.39,0
3835,718,Germany,Female,39,7,93148.74,2,1,1,190746.38,0
3974,761,Spain,Male,27,8,0.0,2,1,0,63297.7,0
5487,763,France,Male,35,9,0.0,1,1,1,31372.91,0
3128,832,Spain,Female,34,6,138190.13,2,0,1,146511.2,0
9430,753,France,Male,33,5,122568.05,2,1,1,82820.85,0
2784,821,Germany,Female,37,5,106453.53,2,0,1,127413.0,0
6625,657,Spain,Female,41,6,112119.48,1,1,0,17536.82,0
6500,582,France,Female,43,5,153313.67,1,0,0,170563.73,0
5228,751,France,Male,29,10,147737.63,1,0,1,94951.27,0
3796,537,France,Male,26,7,106397.75,1,0,0,103563.23,0
9442,741,France,Male,37,9,105261.76,2,1,1,149503.54,0
5414,495,France,Female,40,1,140197.71,2,1,0,150720.39,0
4009,446,France,Female,39,1,90217.07,1,1,0,191350.48,0
5511,667,Germany,Male,32,0,103846.65,1,1,0,20560.69,0
6926,660,France,Male,34,1,0.0,2,1,0,9692.58,0
6874,798,France,Male,28,3,0.0,2,1,0,2305.27,0
9850,459,France,Male,26,4,149879.66,1,0,0,50016.17,0
2320,593,Germany,Female,38,5,85626.6,1,1,1,125079.65,0
1446,637,France,Male,33,2,145731.83,1,0,1,109219.43,0
3066,503,France,Female,28,5,0.0,2,1,0,125918.17,0
7111,850,Spain,Female,39,6,0.0,2,1,0,103921.43,0
7094,640,France,Female,67,3,0.0,1,0,1,42964.63,0
8998,674,Germany,Female,38,10,83727.68,1,1,0,45418.12,0
683,749,Germany,Female,40,8,141782.57,2,0,0,86333.63,0
9018,663,France,Male,67,9,0.0,3,1,1,72318.77,0
9042,731,France,Male,29,5,179539.2,1,0,0,112010.02,0
1960,655,Spain,Female,36,1,135515.76,1,1,0,86013.96,0
5376,850,Spain,Male,38,1,146343.98,1,0,1,103902.11,0
578,593,France,Female,41,6,0.0,1,1,0,65170.66,0
521,850,France,Male,56,7,131317.48,1,1,1,119175.45,0
8631,632,Germany,Male,30,2,72549.0,2,0,1,182728.8,0
3905,496,France,Female,29,4,0.0,2,1,0,164806.89,0
1870,624,Spain,Male,33,6,0.0,2,0,0,76551.7,0
8130,704,France,Male,47,5,0.0,2,1,1,145338.61,0
6591,758,France,Female,33,7,0.0,1,1,0,188156.34,0
4778,737,Spain,Female,45,2,0.0,2,0,1,177695.67,0
4106,671,Spain,Male,34,10,153360.02,1,1,0,140509.86,0
618,546,Spain,Male,42,7,139070.51,1,1,1,86945.0,0
7627,670,Spain,Female,40,3,0.0,1,1,1,182650.15,0
7750,550,France,Male,25,0,0.0,2,1,1,184221.11,0
8668,532,Spain,Female,37,5,0.0,2,0,1,6761.84,0
8526,627,France,Male,27,1,62092.9,1,1,1,105887.04,0
6020,609,France,Female,35,2,147900.43,1,1,0,140000.29,0
1941,452,Spain,Male,44,3,88915.85,1,1,0,69697.74,0
1349,575,Spain,Male,43,3,0.0,1,1,0,83594.51,0
2288,619,France,Female,30,7,70729.17,1,1,1,160948.87,0
2417,732,Spain,Female,33,8,111379.55,1,1,1,45098.62,0
1857,544,France,Female,29,1,118560.55,1,1,1,164137.36,0
6525,728,France,Male,34,4,106328.08,1,1,0,88680.65,0
3210,606,Spain,Female,53,1,109330.06,1,1,1,75860.01,0
3061,584,Germany,Male,33,3,88311.48,2,1,1,177651.38,0
9634,655,France,Male,27,10,0.0,2,1,0,51620.94,0
4613,745,France,Female,46,7,0.0,2,1,1,67769.94,0
9938,526,Spain,Female,36,5,91132.18,1,0,0,58111.71,0
8188,506,Germany,Female,59,3,190353.08,1,1,0,78365.75,0
4279,604,France,Male,33,3,148659.48,1,0,0,42437.75,0
10,528,France,Male,31,6,102016.72,2,0,0,80181.12,0
8064,714,Spain,Male,29,9,0.0,2,1,0,129192.55,0
7199,649,Spain,Female,32,7,0.0,1,1,0,28797.32,0
4073,581,Spain,Male,30,0,53291.86,1,0,0,196582.28,0
1308,710,France,Male,33,10,118327.17,2,1,1,192928.82,0
158,646,France,Female,73,6,97259.25,1,0,1,104719.66,0
7738,561,France,Male,33,6,0.0,2,0,0,173680.39,0
8515,724,Germany,Female,35,0,171982.95,2,0,1,167313.07,0
2820,622,France,Female,31,1,89688.94,1,1,1,152305.47,0
5309,684,Spain,Female,36,5,174180.39,1,1,0,119830.08,0
13,549,France,Female,25,5,0.0,2,0,0,190857.79,0
2214,850,France,Female,26,4,62610.96,2,0,1,179365.1,0
4157,850,Spain,Male,62,5,0.0,2,1,1,180243.56,0
4711,754,France,Male,39,3,74896.33,1,0,0,34430.16,0
8939,772,France,Male,34,9,0.0,2,1,0,170980.86,0
2458,513,Spain,Male,88,10,0.0,2,1,1,52952.24,0
6400,676,Spain,Female,30,5,0.0,2,0,0,179066.58,0
7038,630,France,Male,31,0,0.0,2,1,1,34475.14,0
3701,603,France,Male,46,2,0.0,2,1,1,59563.49,0
1512,656,France,Male,39,10,0.0,2,1,1,98894.64,0
4090,503,France,Female,37,8,0.0,2,1,1,97893.32,0
9268,596,Spain,Male,29,2,0.0,2,1,1,1591.19,0
3666,701,Spain,Female,21,9,0.0,2,1,1,26327.42,0
8302,850,France,Female,39,2,0.0,2,1,0,179451.42,0
402,751,Spain,Male,52,8,0.0,2,0,1,179291.85,0
2125,544,France,Female,45,6,0.0,2,0,1,151401.33,0
4045,687,Spain,Female,36,5,0.0,1,1,0,17696.22,0
9382,645,France,Female,38,7,59568.57,1,1,1,167723.25,0
6530,511,Germany,Female,75,9,105609.17,1,0,1,105425.18,0
6885,698,France,Female,27,1,94920.71,1,1,1,40339.9,0
3886,710,Germany,Male,34,8,147833.3,2,0,1,1561.58,0
8273,675,France,Male,32,1,0.0,3,1,0,85901.09,0
6498,613,France,Female,27,5,125167.74,1,1,0,199104.52,0
4651,524,Germany,Female,25,7,131402.21,1,0,0,193668.49,0
3571,664,Germany,Male,36,6,71142.77,2,1,0,122433.09,0
45,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0
6175,503,Spain,Male,31,4,0.0,2,1,1,21645.06,0
534,550,France,Female,40,7,114354.95,1,1,0,54018.93,0
5965,724,France,Female,30,9,142475.87,1,1,1,107848.24,0
40,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0
661,694,Spain,Male,57,8,116326.07,1,1,1,117704.65,0
6523,671,Spain,Female,31,4,0.0,2,0,1,79270.02,0
8205,477,Germany,Female,39,4,182491.57,1,1,0,185830.72,0
3360,844,France,Male,38,7,111501.66,1,1,1,119333.38,0
2997,655,France,Female,26,7,106198.5,1,0,1,32020.42,0
1773,640,Spain,Male,34,1,137523.02,1,0,0,24761.36,0
1608,574,France,Female,39,2,122524.61,2,1,0,88463.63,0
7638,520,Germany,Female,23,3,116022.53,2,1,1,37577.66,0
3,699,France,Female,39,1,0.0,2,0,0,93826.63,0
375,769,France,Female,39,8,0.0,1,0,1,21016.0,0
9340,737,France,Male,45,10,0.0,2,1,0,1364.54,0
8263,555,Spain,Male,32,10,0.0,2,0,1,168605.96,0
9355,739,Spain,Female,40,8,0.0,1,1,0,167030.51,0
250,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,0
6832,594,Germany,Female,21,2,87096.82,2,1,0,168186.11,0
396,557,France,Male,33,3,54503.55,1,1,1,371.05,0
4638,516,Germany,Male,50,7,139675.07,2,1,0,45591.23,0
1858,705,France,Male,61,4,0.0,2,1,1,191313.7,0
7416,583,France,Male,36,8,0.0,2,0,1,5571.59,0
449,778,Spain,Female,47,6,127299.34,2,1,0,124694.99,0
5715,806,France,Male,31,9,0.0,2,0,1,140168.36,0
5275,683,France,Female,42,8,0.0,2,0,1,198134.9,0
8745,663,Spain,Female,28,8,61274.7,2,1,0,136054.45,0
2030,624,Spain,Female,28,2,0.0,2,0,1,104353.26,0
5898,699,France,Male,34,2,117468.67,1,1,0,185227.42,0
1878,648,Spain,Male,35,7,0.0,2,1,1,78436.36,0
4701,652,France,Male,27,10,107303.72,2,0,0,44435.76,0
3005,683,France,Male,39,4,0.0,2,1,0,171716.81,0
217,730,Spain,Female,33,9,0.0,2,0,0,176576.62,0
870,535,France,Female,40,8,0.0,1,1,1,27689.77,0
4207,656,France,Male,37,7,112291.34,1,1,0,153157.97,0
6558,686,France,Male,38,0,138131.34,1,0,1,115927.85,0
1943,728,Germany,Male,39,6,152182.83,1,0,0,161203.6,0
183,636,France,Male,42,2,0.0,2,1,1,55470.78,0
8219,572,France,Female,39,2,0.0,2,1,1,555.28,0
1304,718,France,Female,31,0,118100.59,2,1,0,103165.15,0
9015,573,Spain,Male,41,5,0.0,2,0,1,14479.29,0
7744,739,France,Female,36,0,0.0,2,0,0,133465.57,0
4836,609,France,Male,26,10,126392.18,1,0,1,43651.49,0
997,587,Spain,Male,62,7,121286.27,1,0,1,6776.92,0
2974,565,Germany,Male,59,9,69129.59,1,1,1,170705.53,0
6551,525,Spain,Female,30,5,0.0,2,0,1,149195.44,0
8886,575,France,Male,36,1,0.0,1,0,1,94570.56,0
7794,508,France,Female,25,2,111395.53,1,0,1,48197.06,0
5581,494,Spain,Male,67,5,0.0,2,1,1,85890.16,0
2823,668,Germany,Female,59,5,120170.07,1,0,1,50454.8,0
1359,431,France,Male,37,0,120764.08,1,1,1,117023.08,0
3157,574,Spain,Male,34,5,0.0,2,0,0,28269.86,0
7190,597,Germany,Male,52,8,83693.34,2,1,1,161083.53,0
1514,539,Spain,Male,38,8,71460.67,2,1,1,10074.05,0
6333,634,France,Male,34,8,105302.66,1,1,1,123164.97,0
8345,568,Spain,Female,46,3,0.0,2,1,1,29372.62,0
8667,557,France,Female,46,4,96173.17,2,1,1,116378.31,0
2134,713,France,Male,44,1,63438.91,1,1,0,64375.4,0
8429,850,Germany,Male,28,2,101100.22,2,1,1,35337.31,0
1617,557,Spain,Female,40,4,0.0,2,0,1,105433.53,0
328,671,Germany,Male,35,1,144848.74,1,1,1,179012.3,0
9399,694,France,Male,39,5,77652.4,1,1,1,25407.59,0
2713,763,Spain,Male,67,9,148564.66,1,0,1,87236.4,0
3202,564,France,Female,33,4,135946.26,1,1,0,63170.0,0
3567,470,Spain,Female,31,2,101675.22,2,1,0,45033.75,0
6349,542,France,Female,25,7,0.0,2,0,1,82393.08,0
3164,665,France,Female,38,5,0.0,2,1,0,156439.56,0
5689,722,Spain,Female,50,4,132088.59,1,1,1,128262.14,0
7663,590,France,Male,39,9,0.0,2,1,1,104730.52,0
4611,555,Germany,Male,48,3,142055.41,2,0,1,79134.78,0
6004,521,Spain,Female,22,10,0.0,1,1,1,101311.95,0
1925,804,France,Male,24,3,0.0,2,1,0,173195.33,0
1868,656,France,Male,36,8,97786.08,2,0,1,21478.36,0
8558,574,France,Female,39,5,119013.86,1,1,0,103421.91,0
2604,540,France,Male,25,5,116160.23,1,1,0,13411.67,0
1481,592,Spain,Male,38,8,0.0,2,1,0,180426.2,0
709,686,France,Female,34,3,123971.51,2,1,0,147794.63,0
7807,608,Germany,Male,34,3,106288.54,1,1,1,36639.25,0
7106,646,France,Male,40,5,93680.43,2,1,1,179473.26,0
1538,607,Spain,Female,36,4,98266.3,1,1,1,46416.36,0
9641,680,France,Male,34,9,0.0,2,1,1,95686.6,0
9622,590,France,Male,31,8,112211.61,1,1,0,26261.42,0
2211,717,France,Male,40,0,98241.04,1,1,0,110887.14,0
9984,602,Germany,Male,35,7,90602.42,2,1,1,51695.41,0
9254,686,France,Male,32,6,0.0,2,1,1,179093.26,0
9612,776,France,Male,36,1,0.0,2,1,0,53477.76,0
6168,579,France,Female,26,10,162482.76,1,1,1,18458.2,0
9940,748,France,Female,20,7,0.0,2,0,0,10792.42,0
9256,765,Germany,Male,37,7,102708.77,1,1,0,9087.81,0
8229,588,Germany,Female,37,7,70258.88,2,1,0,139607.61,0
1593,591,Spain,Male,36,7,135216.8,1,1,1,122022.89,0
2836,679,France,Male,60,8,0.0,2,1,1,51380.9,0
3195,697,Germany,Male,29,0,172693.54,1,0,0,141798.98,0
4959,543,Spain,Female,46,5,140355.6,1,1,1,85086.78,0
6975,556,Spain,Male,38,2,115463.16,1,1,0,150679.65,0
3869,512,France,Female,31,7,0.0,2,0,0,49326.07,0
244,523,Spain,Male,34,7,0.0,2,1,0,62030.06,0
5862,682,France,Male,40,4,0.0,2,1,1,140745.91,0
8373,795,Spain,Male,29,4,0.0,2,0,0,155711.64,0
82,543,France,Female,36,3,0.0,2,0,0,26019.59,0
9762,708,Germany,Male,21,8,133974.36,2,1,0,50294.09,0
3172,665,Germany,Male,32,1,132178.67,1,0,0,11865.76,0
5598,616,Germany,Female,57,7,116936.81,1,1,1,104379.36,0
342,545,Spain,Female,47,5,0.0,2,1,1,38970.14,0
8394,692,France,Male,69,10,154953.94,1,1,1,70849.47,0
9172,742,France,Male,39,8,140004.96,1,1,1,92985.78,0
1471,806,France,Male,48,4,164701.68,1,1,1,21439.49,0
2635,592,France,Female,27,4,0.0,2,1,1,183569.25,0
5901,587,France,Male,42,1,0.0,1,0,0,123006.91,0
6640,681,France,Male,36,5,141952.07,1,1,1,185144.08,0
6411,672,Germany,Female,21,1,35741.69,1,1,0,28789.94,0
2475,627,France,Male,32,10,0.0,2,1,0,103287.62,0
1128,675,France,Female,32,2,155663.31,1,1,0,97658.66,0
7171,637,Germany,Male,30,6,122641.56,2,1,0,65618.01,0
6876,591,France,Female,42,10,0.0,2,0,0,171099.22,0
8789,493,France,Female,36,2,0.0,2,0,1,99770.3,0
1722,595,Spain,Female,30,5,100683.54,1,1,1,178361.04,0
5864,729,France,Female,32,9,0.0,2,0,0,150803.44,0
4372,628,France,Male,31,0,88421.81,1,0,0,72350.47,0
5001,754,Spain,Male,35,4,0.0,2,1,1,9658.41,0
6071,625,Spain,Male,52,8,121161.57,1,1,0,48988.28,0
5054,640,Spain,Male,36,4,0.0,1,0,0,173016.46,0
9824,711,Germany,Male,26,9,128793.63,1,1,0,19262.05,0
3685,695,Spain,Female,39,5,0.0,2,0,0,102763.69,0
3742,587,Germany,Female,39,6,101851.8,2,1,0,7103.71,0
4775,526,Spain,Male,35,5,0.0,2,1,1,105618.14,0
2839,558,Germany,Female,32,1,108262.87,1,1,1,6935.31,0
633,540,Germany,Male,44,3,164113.04,2,1,1,12120.79,0
192,479,France,Male,40,1,0.0,2,0,0,114996.43,0
4084,693,France,Female,39,4,0.0,2,0,1,142331.39,0
6006,529,France,Female,31,5,0.0,2,1,0,26817.23,0
6807,562,France,Male,36,6,0.0,2,1,0,32845.32,0
8036,555,Spain,Male,21,1,0.0,2,0,0,103901.35,0
9903,606,France,Female,36,10,0.0,2,0,1,155641.46,0
8731,727,Spain,Female,41,10,0.0,2,0,1,47468.56,0
1908,605,Spain,Female,48,6,0.0,2,1,1,40062.99,0
6447,619,Spain,Female,31,3,141751.82,1,0,1,61531.86,0
4794,705,France,Female,39,5,149379.66,2,1,0,96075.55,0
7294,653,Germany,Male,31,2,154741.45,2,0,0,25183.01,0
7753,605,Germany,Male,28,10,113690.83,1,1,0,33114.24,0
8877,812,Spain,Female,24,1,92476.88,1,0,0,83247.14,0
1907,620,France,Female,67,3,0.0,2,1,1,43486.73,0
825,464,Germany,Male,33,8,164284.72,2,1,1,3710.34,0
597,646,Germany,Male,39,9,111574.41,1,1,1,30838.51,0
5619,785,Spain,Male,41,7,0.0,2,1,1,199108.88,0
324,734,France,Male,30,3,0.0,2,1,0,107640.25,0
3101,763,Germany,Male,32,9,160680.41,1,1,0,30886.35,0
9586,546,France,Female,20,6,0.0,1,0,1,20508.85,0
4807,611,France,Male,28,2,0.0,2,0,0,25395.83,0
2489,714,France,Male,28,6,122724.37,1,1,1,67057.27,0
6776,621,Spain,Female,43,8,0.0,1,0,0,102806.6,0
719,621,France,Female,43,5,0.0,1,1,1,47578.45,0
1874,529,Spain,Male,35,5,95772.97,1,1,1,112781.5,0
9961,573,Spain,Male,44,9,0.0,2,1,0,107124.17,0
246,772,Germany,Male,26,7,152400.51,2,1,0,79414.0,0
846,714,Germany,Male,21,6,86402.52,2,0,0,27330.59,0
985,551,Germany,Male,31,9,82293.82,2,1,1,91565.25,0
1824,798,France,Female,37,4,111723.08,1,1,1,83478.12,0
3513,790,France,Female,33,10,135120.72,1,0,0,195204.99,0
1808,739,France,Male,41,5,0.0,2,0,0,143882.25,0
233,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0
7289,627,Spain,Female,35,7,0.0,1,1,0,187718.26,0
527,610,France,Male,26,8,0.0,2,1,0,166031.08,0
5210,551,France,Male,35,7,129717.3,2,0,0,86937.2,0
1353,626,Spain,Male,29,7,0.0,2,1,0,49361.84,0
8237,649,France,Male,39,3,113096.41,1,1,1,60335.24,0
5919,645,Spain,Male,49,8,0.0,2,1,0,162012.6,0
